20,87.2946,154.815,0.13833
40,111.179,211.05,0.271058
60,140.028,285.165,0.388053
80,161.581,335.305,0.511244
100,209.617,484.764,0.579012
120,220.445,509.043,0.688872
140,286.646,718.025,0.754034
160,320.595,851.792,0.796878
180,353.808,992.311,0.841096
200,393.174,1167.71,0.852908
