214.706,437.432,609.477
224.525,417.98,628.813
213.903,411.763,639.964
203.482,409.641,590.065
203.478,409.394,589.269
221.741,445.887,653.778
232.025,461.929,677.17
240.376,478.138,701.028
245.545,483.555,725.96
254.004,497.523,726.088
264.67,543.403,788.854
267.374,547.055,798.136
270.658,550.97,804.56
273.185,555.156,813.225
230.938,591.648,986.85
248.81,715.538,1287.96
287.842,796.345,1592.41
301.634,1089.68,1991.62
323.295,1236.69,2406.98
429.118,1422.26,2561.47
230.978,591.355,988.675
248.765,715.813,1285.7
287.432,798.132,1596.43
301.764,1092.49,1991.27
322.002,1236.99,2420.27
429.245,1423.9,2554.02
231.115,591.658,988.239
248.868,717.112,1272.35
286.96,796.581,1553.34
302.254,1065.39,1979.57
322.208,1230.94,2459.98
429.351,1430.41,2611.19
511.592,2142.81,3902.36
135.881,446.277,568.281
154.182,585.227,923.621
194.042,678.659,1244.27
207.831,999.943,1594.78
228.855,1165.68,2104.51
338.144,1382.88,2235.71
110.924,356.275,408.416
128.561,461.544,671.659
163.409,525.411,905.305
177.332,732.959,1221.01
197.075,877.322,1623.44
280.179,1001.46,1749.95
343.947,1544.78,2728.22
86.4549,265.689,317.163
104.407,355.198,507.739
135.592,401.883,677.305
149.93,535.39,925.774
168.06,651.139,1248.79
234.152,715.183,1340.31
281.349,1022.76,2013.87
313.069,1159.71,2154.23
323.868,1267.1,2454.08
342.853,1355.48,2646.07
67.0664,183.196,255.865
85.0502,219.127,321.663
95.1596,235.383,345.705
103.1,251.958,371.314
108.577,255.964,394.887
116.36,257.745,395.877
124.36,277.546,425.672
127.838,281.689,433.646
131.703,285.511,441.483
135.416,289.247,449.729
67.1097,166.228,200.595
75.1144,182.431,232.527
91.0513,214.267,296.183
106.997,248.663,362.897
123.055,280.254,427.021
123.012,280.175,427.962
123.099,280.344,427.689
122.994,280.27,427.857
122.901,280.507,428.105
122.915,280.368,428.101
68.8113,186.506,287.532
86.8868,222.495,351.398
96.9071,238.314,376.389
104.841,254.799,400.709
110.16,259.623,424.906
115.173,266.173,427.685
123.984,289.688,459.403
127.374,293.415,467.004
130.531,297.273,475.151
133.971,300.545,483.91
104.167,285.496,352.862
122.134,374.803,558.811
153.283,417.048,758.791
167.336,553.545,1079.06
186.142,697.745,1607.35
248.85,769.994,1707.1
91.1451,180.204,262.538
109.285,262.958,434.813
140.462,301.86,594.391
154.339,415.583,825.86
172.823,509.106,1144.29
232.663,542.208,1230.69
274.255,759.113,1848.76
308.464,842.439,1995.58
317.854,951.734,2374.19
53.8405,115.696,232.604
71.8447,151.663,297.057
81.8354,167.943,320.168
89.8327,183.74,344.742
93.8027,187.766,368.73
93.8515,187.771,368.53
93.8932,187.816,368.824
93.8059,187.737,368.807
93.8421,187.683,368.852
93.7951,187.776,368.687
88.1741,266.05,317.097
108.028,362.27,522.164
138.856,461.029,889.316
152.997,549.629,1004.91
184.685,702.163,1411.9
236.111,842.364,1669.77
286.831,1213.7,2458.69
315.715,1378.25,2894.25
89.2202,176.22,245.37
109.326,266.221,429.688
140.394,351.12,743.132
154.445,427.067,836.31
185.989,519.417,1168.55
234.233,631.334,1400.22
279.779,825.321,1941.02
310.175,932.548,2363.29
327.476,1046.47,2643.28
60.0951,146.107,227.156
80.1694,186.406,307.238
90.0563,202.472,330.761
98.1148,218.246,355.766
100.09,218.203,370.784
108.685,223.604,380.9
118.775,242.603,417.232
122.269,246.534,425.02
90.7941,267.227,343.292
110.901,307.943,421.84
120.891,323.948,448.014
128.799,340.622,471.053
131.124,339.786,487.909
142.966,359.725,501.454
157.635,410.132,570.396
161.044,413.483,577.775
163.903,417.604,586.024
166.917,421.218,593.844
69.5985,180.106,263.782
89.6507,220.707,344.742
99.7796,237.097,369.879
108.002,254.503,394.167
110.23,254.61,411.458
112.309,259.363,419.402
112.23,259.521,419.357
112.32,259.29,419.882
112.259,259.364,419.684
112.413,259.383,419.606
361.342,1193.06,3083.66
670.596,1920.08,2368.7
655.501,2095.88,2892.63
180.297,321.926,427.094
128.42,246.985,458.114
59.055,139.726,241.914
79.1405,179.863,321.989
89.0639,195.725,345.941
97.0121,211.763,370.247
99.0334,211.779,386.235
107.711,216.532,396.256
117.901,235.167,434.488
121.415,238.819,442.595
124.97,242.889,450.298
128.551,246.61,458.38
91.8988,212.281,213.027
111.958,252.819,293.486
121.964,268.411,317.427
130.169,284.767,341.237
131.888,285.355,357.545
148.686,289.191,365.544
168.715,309.891,402.984
172.403,313.736,411.103
176.436,317.118,419.263
