20,87.4052,154.577
40,111.559,210.601
60,140.518,283.625
80,161.981,336.28
100,209.045,482.557
120,219.559,505.605
140,286.731,717.169
160,321.24,849.499
180,354.492,983.804
200,393.508,1157.34
